,Restaurant Id,Restaurant Name,City,Location,Transaction ID,Transaction Date,UTR ID,UTR Date,Bill Amount (A),Base Discount Amount (B),Coupon Discount Amount (C),DineCash discount (D),Net Amount (E = A-B-C-D),Commission (F),GST (G),Tip Amount (H),Amount Receivable (E-F-G+H),Transaction Status,Refund Status,Order Type,Offer Claimed Title
0,1306876,La Soiree,Kolkata,Sreepally,244483801130459,2026-07-31 21:40:01,,2026-08-01 18:43:16,4879.0,731.85,0.0,0.0,4147.15,175.42,31.58,0.0,3940.15,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
1,1306876,La Soiree,Kolkata,Sreepally,244313132159220,2026-07-29 22:15:32,,2026-08-01 18:43:16,1549.0,232.35,0.0,59.5,1257.15,53.18,9.58,0.0,1194.41,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
2,1306876,La Soiree,Kolkata,Sreepally,244313068139005,2026-07-29 22:14:28,,,1549.0,232.35,0.0,59.5,1257.15,,,0.0,,failed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
3,1306876,La Soiree,Kolkata,Sreepally,244312343194628,2026-07-29 22:02:23,,2026-08-01 18:43:16,772.0,115.8,0.0,0.0,656.2,27.76,5.0,0.0,623.44,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
4,1306876,La Soiree,Kolkata,Sreepally,244056268085878,2026-07-26 22:54:28,YESF262096344374,2026-07-27 18:06:34,5180.0,0.0,0.0,0.0,5180.0,219.11,39.44,0.0,4921.45,completed,,WALK-IN,
5,1306876,La Soiree,Kolkata,Sreepally,244055112048917,2026-07-26 22:35:12,YESF262096344374,2026-07-27 18:06:34,1603.0,160.3,0.0,52.0,1390.7,58.83,10.58,0.0,1321.27,completed,,PRE-BOOK,10.00 PERCENT off - GIRF_TOTAL_BILL
6,1306876,La Soiree,Kolkata,Sreepally,244054425051188,2026-07-26 22:23:45,YESF262096344374,2026-07-27 18:06:34,10282.0,1542.3,0.0,0.0,8739.7,369.69,66.54,0.0,8303.47,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
7,1306876,La Soiree,Kolkata,Sreepally,244052312005850,2026-07-26 21:48:32,YESF262096344374,2026-07-27 18:06:34,4129.0,412.9,0.0,180.5,3535.6,149.56,26.92,0.0,3359.12,completed,,PRE-BOOK,10.00 PERCENT off - GIRF_TOTAL_BILL
8,1306876,La Soiree,Kolkata,Sreepally,244035953053048,2026-07-26 17:15:53,YESF262096344374,2026-07-27 18:06:34,4956.0,495.6,0.0,0.0,4460.4,188.67,33.96,0.0,4237.77,completed,,PRE-BOOK,10.00 PERCENT off - GIRF_TOTAL_BILL
9,1306876,La Soiree,Kolkata,Sreepally,244035915038173,2026-07-26 17:15:15,,,4956.0,495.6,0.0,0.0,4460.4,,,0.0,,failed,,PRE-BOOK,10.00 PERCENT off - GIRF_TOTAL_BILL
10,1306876,La Soiree,Kolkata,Sreepally,244032192095722,2026-07-26 16:13:12,YESF262096344374,2026-07-27 18:06:34,3897.0,584.55,0.0,0.0,3312.45,140.12,25.22,0.0,3147.11,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
11,1306876,La Soiree,Kolkata,Sreepally,244029864039497,2026-07-26 15:34:24,YESF262096344374,2026-07-27 18:06:34,6232.0,934.8,0.0,0.0,5297.2,224.07,40.34,0.0,5032.81,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
12,1306876,La Soiree,Kolkata,Sreepally,244029811008334,2026-07-26 15:33:31,,,6232.0,934.8,0.0,0.0,5297.2,,,0.0,,failed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
13,1306876,La Soiree,Kolkata,Sreepally,243978195035775,2026-07-26 01:13:15,YESF262096344374,2026-07-27 18:06:34,6016.0,0.0,0.0,0.0,6016.0,254.48,45.8,0.0,5715.7,completed,,WALK-IN,
14,1306876,La Soiree,Kolkata,Sreepally,243976277000666,2026-07-26 00:41:17,YESF262096344374,2026-07-27 18:06:34,5843.0,584.3,0.0,0.0,5258.7,222.44,40.04,0.0,4996.22,completed,,PRE-BOOK,10.00 PERCENT off - GIRF_TOTAL_BILL
15,1306876,La Soiree,Kolkata,Sreepally,243976250024726,2026-07-26 00:40:50,,,5843.0,584.3,0.0,0.0,5258.7,,,0.0,,failed,,PRE-BOOK,10.00 PERCENT off - GIRF_TOTAL_BILL
16,1306876,La Soiree,Kolkata,Sreepally,243965740040152,2026-07-25 21:45:40,YESF262096344374,2026-07-27 18:06:34,7485.0,1122.75,0.0,94.0,6268.25,265.15,47.72,0.0,5955.36,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
17,1306876,La Soiree,Kolkata,Sreepally,243962928020473,2026-07-25 20:58:48,YESF262096344374,2026-07-27 18:06:34,6046.0,906.9,0.0,200.0,4939.1,208.92,37.6,0.0,4692.56,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
18,1306876,La Soiree,Kolkata,Sreepally,243958440004199,2026-07-25 19:44:00,YESF262096344374,2026-07-27 18:06:34,2961.0,444.15,0.0,0.0,2516.85,106.46,19.16,0.0,2391.23,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
19,1306876,La Soiree,Kolkata,Sreepally,243883528065580,2026-07-24 22:55:28,YESF262096344374,2026-07-27 18:06:34,4652.0,0.0,0.0,200.0,4452.0,188.32,33.9,0.0,4229.78,completed,,WALK-IN,
20,1306876,La Soiree,Kolkata,Sreepally,243883115045048,2026-07-24 22:48:35,,,4652.0,697.8,0.0,179.5,3774.7,,,0.0,,failed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
21,1306876,La Soiree,Kolkata,Sreepally,243880855020230,2026-07-24 22:10:55,YESF262096344374,2026-07-27 18:06:34,5198.0,779.7,0.0,0.0,4418.3,186.89,33.64,0.0,4197.77,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
22,1306876,La Soiree,Kolkata,Sreepally,243874644035014,2026-07-24 20:27:24,YESF262096344374,2026-07-27 18:06:34,835.0,125.25,0.0,0.0,709.75,30.02,5.4,0.0,674.33,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
23,1306876,La Soiree,Kolkata,Sreepally,243794089018532,2026-07-23 22:04:49,YESF262096344374,2026-07-27 18:06:34,3738.0,560.7,0.0,144.5,3032.8,128.29,23.1,0.0,2881.43,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
24,1306876,La Soiree,Kolkata,Sreepally,243789451033468,2026-07-23 20:47:31,YESF262096344374,2026-07-27 18:06:34,2365.0,0.0,0.0,108.0,2257.0,95.47,17.18,0.0,2144.35,completed,,WALK-IN,
25,1306876,La Soiree,Kolkata,Sreepally,243787191174305,2026-07-23 20:09:51,YESF262096344374,2026-07-27 18:06:34,2237.0,335.55,0.0,48.0,1853.45,78.4,14.12,0.0,1760.95,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
26,1306876,La Soiree,Kolkata,Sreepally,243776043076480,2026-07-23 17:04:03,YESF262096344374,2026-07-27 18:06:34,10960.0,1644.0,0.0,0.0,9316.0,394.07,70.94,0.0,8851.01,completed,,PRE-BOOK,20.00 PERCENT off - GIRF_TOTAL_BILL
